,geo,time,child_mortality_0_5_year_olds_dying_per_1000_born
1108,are,1854,434.46
1109,are,1855,434.46
1110,are,1856,434.46
1111,are,1857,434.46
1112,are,1858,434.46
1113,are,1859,434.46
1114,are,1860,434.46
1115,are,1861,434.46
1116,are,1862,434.46
1117,are,1863,434.46
1118,are,1864,434.46
1119,are,1865,434.46
1120,are,1866,434.46
1121,are,1867,434.46
1122,are,1868,434.46
1123,are,1869,434.46
1124,are,1870,434.46
1125,are,1871,434.46
1126,are,1872,434.46
1127,are,1873,434.46
1128,are,1874,434.46
1129,are,1875,434.46
1130,are,1876,434.46
1131,are,1877,434.46
1132,are,1878,434.46
1133,are,1879,434.46
1134,are,1880,434.46
1135,are,1881,434.46
1136,are,1882,434.46
1137,are,1883,434.46
1138,are,1884,434.46
1139,are,1885,434.46
1140,are,1886,434.46
1141,are,1887,434.46
1142,are,1888,434.46
1143,are,1889,434.46
1144,are,1890,434.46
1145,are,1891,434.46
1146,are,1892,434.46
1147,are,1893,434.46
1148,are,1894,434.45
1149,are,1895,434.41
1150,are,1896,434.35
1151,are,1897,434.23
1152,are,1898,434.06
1153,are,1899,433.83
1154,are,1900,433.52
1155,are,1901,433.15
1156,are,1902,432.7
1157,are,1903,432.19
1158,are,1904,431.62
